,EDC3_gas_a (yr),CO2 (ppmv),Bag,ztop,Age,Deuterium,Temperature,Depth,CH4_mean,1s,Lab.,Year,Month,Median montly series,0,year,Annual
374,184685.0,210.7,,,,,,,,,,,,,,,
375,186697.0,231.3,,,,,,,,,,,,,,,
376,188436.0,231.4,,,,,,,,,,,,,,,
377,189076.0,220.3,,,,,,,,,,,,,,,
378,190352.0,218.0,,,,,,,,,,,,,,,
379,192910.0,226.5,,,,,,,,,,,,,,,
380,193481.0,220.0,,,,,,,,,,,,,,,
381,195017.0,226.4,,,,,,,,,,,,,,,
382,195673.0,241.2,,,,,,,,,,,,,,,
383,196179.0,242.6,,,,,,,,,,,,,,,
384,198972.0,250.9,,,,,,,,,,,,,,,
385,199918.0,239.1,,,,,,,,,,,,,,,
386,201163.0,247.6,,,,,,,,,,,,,,,
387,202413.0,244.4,,,,,,,,,,,,,,,
388,202874.0,231.9,,,,,,,,,,,,,,,
389,203317.0,232.2,,,,,,,,,,,,,,,
390,203837.0,228.6,,,,,,,,,,,,,,,
391,204480.0,226.3,,,,,,,,,,,,,,,
392,204908.0,229.4,,,,,,,,,,,,,,,
393,205362.0,231.4,,,,,,,,,,,,,,,
394,205952.0,238.1,,,,,,,,,,,,,,,
395,206144.0,237.2,,,,,,,,,,,,,,,
396,206810.0,230.0,,,,,,,,,,,,,,,
397,207120.0,240.5,,,,,,,,,,,,,,,
398,207544.0,242.2,,,,,,,,,,,,,,,
399,208064.0,244.6,,,,,,,,,,,,,,,
400,208254.0,243.9,,,,,,,,,,,,,,,
401,208803.0,247.2,,,,,,,,,,,,,,,
402,208995.0,252.0,,,,,,,,,,,,,,,
403,209432.0,246.9,,,,,,,,,,,,,,,
404,209817.0,239.5,,,,,,,,,,,,,,,
405,210154.0,257.4,,,,,,,,,,,,,,,
406,210813.0,243.4,,,,,,,,,,,,,,,
407,211858.0,251.2,,,,,,,,,,,,,,,
408,212716.0,241.4,,,,,,,,,,,,,,,
409,213270.0,240.3,,,,,,,,,,,,,,,
410,213536.0,242.6,,,,,,,,,,,,,,,
411,213984.0,247.5,,,,,,,,,,,,,,,
412,214459.0,251.7,,,,,,,,,,,,,,,
413,214794.0,251.1,,,,,,,,,,,,,,,
414,215382.0,245.3,,,,,,,,,,,,,,,
415,216352.0,240.5,,,,,,,,,,,,,,,
416,218361.0,214.1,,,,,,,,,,,,,,,
417,219116.0,216.1,,,,,,,,,,,,,,,
418,220058.0,207.1,,,,,,,,,,,,,,,
419,220739.0,208.8,,,,,,,,,,,,,,,
420,222030.0,205.6,,,,,,,,,,,,,,,
421,224269.0,203.3,,,,,,,,,,,,,,,
422,224923.0,215.7,,,,,,,,,,,,,,,
423,225909.0,235.5,,,,,,,,,,,,,,,
424,226711.0,234.5,,,,,,,,,,,,,,,
425,227027.0,233.1,,,,,,,,,,,,,,,
426,227776.0,224.5,,,,,,,,,,,,,,,
427,229423.0,232.4,,,,,,,,,,,,,,,
428,230422.0,233.9,,,,,,,,,,,,,,,
429,231066.0,241.6,,,,,,,,,,,,,,,
430,234817.0,245.2,,,,,,,,,,,,,,,
431,235480.0,252.1,,,,,,,,,,,,,,,
432,236114.0,241.4,,,,,,,,,,,,,,,
433,236734.0,247.4,,,,,,,,,,,,,,,
434,237294.0,243.1,,,,,,,,,,,,,,,
435,237868.0,239.1,,,,,,,,,,,,,,,
436,238558.0,245.6,,,,,,,,,,,,,,,
437,239013.0,245.8,,,,,,,,,,,,,,,
438,239477.0,247.4,,,,,,,,,,,,,,,
439,239973.0,252.8,,,,,,,,,,,,,,,
440,240945.0,259.7,,,,,,,,,,,,,,,
441,241366.0,263.2,,,,,,,,,,,,,,,
442,242007.0,279.0,,,,,,,,,,,,,,,
443,242346.0,280.2,,,,,,,,,,,,,,,
444,243071.0,263.7,,,,,,,,,,,,,,,
445,243429.0,252.3,,,,,,,,,,,,,,,
446,243856.0,249.9,,,,,,,,,,,,,,,
447,244347.0,236.7,,,,,,,,,,,,,,,
448,244864.0,230.4,,,,,,,,,,,,,,,
449,245441.0,219.4,,,,,,,,,,,,,,,
450,247681.0,214.7,,,,,,,,,,,,,,,
451,250133.0,200.2,,,,,,,,,,,,,,,
452,251005.0,213.9,,,,,,,,,,,,,,,
453,251864.0,195.4,,,,,,,,,,,,,,,
454,252739.0,196.7,,,,,,,,,,,,,,,
455,253636.0,195.4,,,,,,,,,,,,,,,
456,255498.0,199.0,,,,,,,,,,,,,,,
457,256309.0,201.9,,,,,,,,,,,,,,,
458,257100.0,204.0,,,,,,,,,,,,,,,
459,258661.0,203.9,,,,,,,,,,,,,,,
460,260353.0,209.6,,,,,,,,,,,,,,,
461,260916.0,205.7,,,,,,,,,,,,,,,
462,262092.0,208.9,,,,,,,,,,,,,,,
463,262930.0,214.6,,,,,,,,,,,,,,,
464,264509.0,228.1,,,,,,,,,,,,,,,
465,265653.0,199.9,,,,,,,,,,,,,,,
466,266326.0,211.7,,,,,,,,,,,,,,,
467,267442.0,188.7,,,,,,,,,,,,,,,
468,268181.0,187.2,,,,,,,,,,,,,,,
469,269154.0,194.2,,,,,,,,,,,,,,,
470,270222.0,198.8,,,,,,,,,,,,,,,
471,271256.0,184.7,,,,,,,,,,,,,,,
472,272311.0,190.4,,,,,,,,,,,,,,,
473,273310.0,193.9,,,,,,,,,,,,,,,
474,274321.0,194.1,,,,,,,,,,,,,,,
475,275350.0,198.4,,,,,,,,,,,,,,,
476,276326.0,193.2,,,,,,,,,,,,,,,
477,277361.0,202.2,,,,,,,,,,,,,,,
478,278350.0,204.5,,,,,,,,,,,,,,,
479,279320.0,211.0,,,,,,,,,,,,,,,
480,280269.0,215.3,,,,,,,,,,,,,,,
481,281758.0,223.7,,,,,,,,,,,,,,,
482,283785.0,231.3,,,,,,,,,,,,,,,
483,285380.0,228.0,,,,,,,,,,,,,,,
484,286128.0,226.4,,,,,,,,,,,,,,,
485,287036.0,231.4,,,,,,,,,,,,,,,
486,287538.0,230.4,,,,,,,,,,,,,,,
487,288233.0,231.0,,,,,,,,,,,,,,,
488,290153.0,234.9,,,,,,,,,,,,,,,
489,290730.0,220.4,,,,,,,,,,,,,,,
490,291367.0,217.1,,,,,,,,,,,,,,,
491,292405.0,207.6,,,,,,,,,,,,,,,
492,293057.0,206.0,,,,,,,,,,,,,,,
493,293779.0,206.7,,,,,,,,,,,,,,,
494,294568.0,212.7,,,,,,,,,,,,,,,
495,295930.0,213.1,,,,,,,,,,,,,,,
496,297921.0,217.1,,,,,,,,,,,,,,,
497,298741.0,224.4,,,,,,,,,,,,,,,
498,299621.0,231.0,,,,,,,,,,,,,,,
499,300472.0,236.1,,,,,,,,,,,,,,,
500,301402.0,239.0,,,,,,,,,,,,,,,
501,302280.0,236.0,,,,,,,,,,,,,,,
502,303226.0,240.2,,,,,,,,,,,,,,,
503,304232.0,240.7,,,,,,,,,,,,,,,
504,304901.0,250.2,,,,,,,,,,,,,,,
505,305655.0,248.6,,,,,,,,,,,,,,,
506,306547.0,244.8,,,,,,,,,,,,,,,
507,307495.0,225.8,,,,,,,,,,,,,,,
508,308744.0,227.8,,,,,,,,,,,,,,,
509,309389.0,226.2,,,,,,,,,,,,,,,
510,310168.0,233.2,,,,,,,,,,,,,,,
511,311013.0,237.8,,,,,,,,,,,,,,,
512,311868.0,239.0,,,,,,,,,,,,,,,
513,312676.0,241.9,,,,,,,,,,,,,,,
514,313414.0,251.6,,,,,,,,,,,,,,,
515,314144.0,256.7,,,,,,,,,,,,,,,
516,314867.0,257.1,,,,,,,,,,,,,,,
517,315572.0,246.8,,,,,,,,,,,,,,,
518,316200.0,272.6,,,,,,,,,,,,,,,
519,316897.0,251.6,,,,,,,,,,,,,,,
520,317734.0,245.2,,,,,,,,,,,,,,,
521,318559.0,233.4,,,,,,,,,,,,,,,
522,319480.0,255.8,,,,,,,,,,,,,,,
523,320358.0,249.2,,,,,,,,,,,,,,,
524,322015.0,257.2,,,,,,,,,,,,,,,
